t	F18
8.34	421444
8.35	419826
8.36	418250
8.37	416699
8.38	415238
8.39	413666
8.4	412068
8.41	410516
8.42	408902
8.43	407361
8.44	405849
8.45	404319
8.46	402824
8.47	401296
8.48	399781
8.49	398261
8.5	396743
8.51	395218
8.52	393701
8.53	392162
8.54	390687
8.55	389237
8.56	387766
8.57	386315
8.58	384839
8.59	383342
8.6	381884
8.61	380456
8.62	379029
8.63	377605
8.64	376193
8.65	374737
8.66	373290
8.67	371933
8.68	370531
8.69	369086
8.7	367688
8.71	366282
8.72	364907
8.73	363512
8.74	362118
8.75	360732
8.76	359336
8.77	357960
8.78	356660
8.79	355317
8.8	353942
8.81	352578
8.82	351248
8.83	349900
8.84	348585
8.85	347264
8.86	345907
8.87	344557
8.88	343287
8.89	341945
8.9	340675
8.91	339382
8.92	338125
8.93	336803
8.94	335429
8.95	334138
8.96	332945
8.97	331647
8.98	330396
8.99	329152
9	327904
9.01	326654
9.02	325396
9.03	324192
9.04	323010
9.05	321846
9.06	320590
9.07	319398
9.08	318171
9.09	317013
9.1	315753
9.11	314567
9.12	313352
9.13	312200
9.14	311058
9.15	309874
9.16	308670
9.17	307508
9.18	306361
9.19	305207
9.2	304035
9.21	302891
9.22	301738
9.23	300669
9.24	299540
9.25	298400
9.26	297235
9.27	296082
9.28	294934
9.29	293821
9.3	292712
9.31	291636
9.32	290521
9.33	289396
9.34	288272
9.35	287174
9.36	286076
9.37	285039
9.38	283964
9.39	282897
9.4	281811
9.41	280773
9.42	279642
9.43	278596
9.44	277512
9.45	276437
9.46	275392
9.47	274415
9.48	273343
9.49	272394
9.5	271391
9.51	270394
9.52	269373
9.53	268353
9.54	267302
9.55	266257
9.56	265215
9.57	264138
9.58	263154
9.59	262209
9.6	261228
9.61	260187
9.62	259224
9.63	258207
9.64	257225
9.65	256233
9.66	255217
9.67	254222
9.68	253211
9.69	252271
9.7	251360
9.71	250420
9.72	249541
9.73	248578
9.74	247649
9.75	246708
9.76	245780
9.77	244819
9.78	243875
9.79	242984
9.8	242073
9.81	241177
9.82	240260
9.83	239348
9.84	238512
9.85	237596
9.86	236641
9.87	235730
9.88	234807
9.89	233938
9.9	233085
9.91	232173
9.92	231327
9.93	230428
9.94	229585
9.95	228715
9.96	227852
9.97	226977
9.98	226140
9.99	225326
10	224477
10.01	223611
10.02	222774
10.03	221923
10.04	221082
10.05	220204
10.06	219384
10.07	218560
10.08	217706
10.09	216798
10.1	215937
10.11	215142
10.12	214328
10.13	213468
10.14	212670
10.15	211843
10.16	211043
10.17	210241
10.18	209428
10.19	208655
10.2	207843
10.21	207025
10.22	206243
10.23	205466
10.24	204713
10.25	203880
10.26	203116
10.27	202349
10.28	201563
10.29	200801
10.3	200059
10.31	199292
10.32	198517
10.33	197741
10.34	196995
10.35	196261
10.36	195511
10.37	194815
10.38	194056
10.39	193329
10.4	192617
10.41	191874
10.42	191105
10.43	190381
10.44	189627
10.45	188968
10.46	188232
10.47	187491
10.48	186808
10.49	186130
10.5	185415
10.51	184714
10.52	183995
10.53	183326
10.54	182638
10.55	181924
10.56	181230
10.57	180511
10.58	179814
10.59	179133
10.6	178463
10.61	177782
10.62	177097
10.63	176391
10.64	175712
10.65	175000
10.66	174315
10.67	173650
10.68	172988
10.69	172328
10.7	171644
10.71	170958
10.72	170326
10.73	169649
10.74	168988
10.75	168338
10.76	167687
10.77	167055
10.78	166403
10.79	165761
10.8	165150
10.81	164515
10.82	163822
10.83	163188
10.84	162538
10.85	161951
10.86	161361
10.87	160733
10.88	160149
10.89	159543
10.9	158936
10.91	158355
10.92	157774
10.93	157212
10.94	156583
10.95	155975
10.96	155410
10.97	154842
10.98	154233
10.99	153642
11	153076
11.01	152485
11.02	151928
11.03	151371
11.04	150812
11.05	150244
11.06	149678
11.07	149129
11.08	148539
11.09	147935
11.1	147329
11.11	146763
11.12	146194
11.13	145648
11.14	145135
11.15	144589
11.16	144037
11.17	143493
11.18	142927
11.19	142371
11.2	141818
11.21	141322
11.22	140778
11.23	140265
11.24	139720
11.25	139170
11.26	138653
11.27	138100
11.28	137564
11.29	137041
11.3	136510
11.31	135951
11.32	135414
11.33	134917
11.34	134382
11.35	133933
11.36	133421
11.37	132908
11.38	132360
11.39	131846
11.4	131339
11.41	130861
11.42	130405
11.43	129933
11.44	129477
11.45	128982
11.46	128551
11.47	128034
11.48	127559
11.49	127042
11.5	126540
11.51	126083
11.52	125612
11.53	125115
11.54	124635
11.55	124166
11.56	123663
11.57	123202
11.58	122745
11.59	122279
11.6	121835
11.61	121366
11.62	120859
11.63	120429
11.64	120002
11.65	119553
11.66	119109
11.67	118656
11.68	118182
11.69	117756
11.7	117281
11.71	116862
11.72	116392
11.73	115930
11.74	115506
11.75	115077
11.76	114679
11.77	114232
11.78	113740
11.79	113305
11.8	112871
11.81	112409
11.82	111998
11.83	111561
11.84	111146
11.85	110707
11.86	110276
11.87	109867
11.88	109421
11.89	109003
11.9	108588
11.91	108191
11.92	107786
11.93	107428
11.94	107011
11.95	106629
11.96	106217
11.97	105790
11.98	105404
11.99	105003
12	104582
12.01	104199
12.02	103813
12.03	103418
12.04	102999
12.05	102614
12.06	102246
12.07	101865
12.08	101461
12.09	101069
12.1	100697
12.11	100310
12.12	99940
12.13	99594
12.14	99205
12.15	98833
12.16	98485
12.17	98091
12.18	97699
12.19	97313
12.2	96933
12.21	96551
12.22	96214
12.23	95847
12.24	95499
12.25	95162
12.26	94818
12.27	94436
12.28	94067
12.29	93717
12.3	93331
12.31	92985
12.32	92680
12.33	92316
12.34	91948
12.35	91598
12.36	91253
12.37	90885
12.38	90540
12.39	90201
12.4	89840
12.41	89493
12.42	89173
12.43	88866
12.44	88551
12.45	88187
12.46	87847
12.47	87513
12.48	87187
12.49	86857
12.5	86503
12.51	86202
12.52	85849
12.53	85504
12.54	85154
12.55	84842
12.56	84499
12.57	84194
12.58	83881
12.59	83559
12.6	83234
12.61	82914
12.62	82635
12.63	82271
12.64	81946
12.65	81593
12.66	81268
12.67	80956
12.68	80633
12.69	80305
12.7	80019
12.71	79715
12.72	79434
12.73	79173
12.74	78848
12.75	78542
12.76	78254
12.77	77940
12.78	77661
12.79	77370
12.8	77045
12.81	76771
12.82	76447
12.83	76185
12.84	75903
12.85	75602
12.86	75324
12.87	75081
12.88	74786
12.89	74536
12.9	74234
12.91	73939
12.92	73661
12.93	73382
12.94	73118
12.95	72812
12.96	72530
12.97	72260
12.98	71987
12.99	71743
13	71513
13.01	71237
13.02	70983
13.03	70711
13.04	70461
13.05	70227
13.06	69950
13.07	69703
13.08	69447
13.09	69174
13.1	68915
13.11	68686
13.12	68422
13.13	68188
13.14	67934
13.15	67680
13.16	67431
13.17	67160
13.18	66885
13.19	66634
13.2	66363
13.21	66107
13.22	65877
13.23	65618
13.24	65373
13.25	65141
13.26	64886
13.27	64634
13.28	64397
13.29	64176
13.3	63931
13.31	63697
13.32	63456
13.33	63210
13.34	62983
13.35	62725
13.36	62478
13.37	62241
13.38	62028
13.39	61808
13.4	61584
13.41	61355
13.42	61137
13.43	60922
13.44	60684
13.45	60440
13.46	60200
13.47	59968
13.48	59740
13.49	59501
13.5	59308
13.51	59104
13.52	58898
13.53	58672
13.54	58432
13.55	58216
13.56	57984
13.57	57771
13.58	57567
13.59	57333
13.6	57087
13.61	56875
13.62	56679
13.63	56444
13.64	56251
13.65	56038
13.66	55834
13.67	55635
13.68	55434
13.69	55201
13.7	54999
13.71	54798
13.72	54591
13.73	54367
13.74	54161
13.75	53963
13.76	53756
13.77	53550
13.78	53331
13.79	53114
13.8	52916
13.81	52715
13.82	52523
13.83	52310
13.84	52138
13.85	51944
13.86	51746
13.87	51537
13.88	51325
13.89	51141
13.9	50961
13.91	50762
13.92	50547
13.93	50387
13.94	50195
13.95	50015
13.96	49830
13.97	49643
13.98	49449
13.99	49266
14	49066
14.01	48857
14.02	48666
14.03	48472
14.04	48293
14.05	48118
14.06	47928
14.07	47746
14.08	47570
14.09	47402
14.1	47209
14.11	47030
14.12	46841
14.13	46666
14.14	46465
14.15	46273
14.16	46132
14.17	45951
14.18	45768
14.19	45607
14.2	45437
14.21	45259
14.22	45095
14.23	44930
14.24	44749
